rank,movie_code,movie_name,story,release_time,price,box_off_num,screen,play_num,country,distributor,naver_viewer,naver_reporter,naver_netizen,daum_viewer,high,1주차_매출,1주차_관객수,1주차_스크린수,1주차_상영횟수,1주차_누적매출액,1주차_누적관객수,2주차_매출,2주차_관객수,2주차_스크린수,2주차_상영횟수,2주차_누적매출액,2주차_누적관객수,3주차_매출,3주차_관객수,3주차_스크린수,3주차_상영횟수,3주차_누적매출액,3주차_누적관객수,category,staff,directors
1,20129370,명량,"1597년 임진왜란 6년, 오랜 전쟁으로 인해 혼란이 극에 달한 조선. 무서운 속도로 한양으로 북상하는 왜군에 의해 국가존망의 위기에 처하자 누명을 쓰고 파면 당했던 이순신 장군(최민식)이 삼도수군통제사로 재임명된다. 하지만 그에게 남은 건 전의를 상실한 병사와 두려움에 가득 찬 백성, 그리고 12척의 배 뿐. 마지막 희망이었던 거북선마저 불타고 잔혹한 성격과 뛰어난 지략을 지닌 용병 구루지마(류승룡)가 왜군 수장으로 나서자 조선은 더욱 술렁인다. 330척에 달하는 왜군의 배가 속속 집결하고 압도적인 수의 열세에 모두가 패배를 직감하는 순간, 이순신 장군은 단 12척의 배를 이끌고 명량 바다를 향해 나서는데…! 12척의 조선 vs 330척의 왜군 역사를 바꾼 위대한 전쟁이 시작된다!",2014/07/30,135757000000,17615686,1587,188720,한국,(주)씨제이이엔엠,8.8,6.29,8.44,7.8,1,36801884916,4755139,1587,34724,36900683916,4767617,46610791175,6038438,1507,50640,83511475091,10806055,29610126519,3831181,1224,39772,113122000000,14637236,사극,546,김한민
2,20182530,극한직업,"불철주야 달리고 구르지만 실적은 바닥, 급기야 해체 위기를 맞는 마약반! 더 이상 물러설 곳이 없는 팀의 맏형 고반장은 국제 범죄조직의 국내 마약 밀반입 정황을 포착하고 장형사, 마형사, 영호, 재훈까지 4명의 팀원들과 함께 잠복 수사에 나선다. 마약반은 24시간 감시를 위해 범죄조직의 아지트 앞 치킨집을 인수해 위장 창업을 하게 되고, 뜻밖의 절대미각을 지닌 마형사의 숨은 재능으로 치킨집은 일약 맛집으로 입소문이 나기 시작한다. 수사는 뒷전, 치킨장사로 눈코 뜰 새 없이 바빠진 마약반에게 어느 날 절호의 기회가 찾아오는데… 범인을 잡을 것인가, 닭을 잡을 것인가!",2019/01/23,139656000000,16266338,2003,292816,한국,(주)씨제이이엔엠,9.2,6.8,8.51,7.4,1,27359558550,3120405,1978,47854,27528787550,3139563,34630842393,4154994,1949,65095,62159629943,7294557,49191480029,5544306,2003,67240,111351000000,12838863,코미디,518,이병헌
3,20150976,신과함께-죄와 벌,"저승 법에 의하면, 모든 인간은 사후 49일 동안 7번의 재판을 거쳐야만 한다. 살인, 나태, 거짓, 불의, 배신, 폭력, 천륜 7개의 지옥에서 7번의 재판을 무사히 통과한 망자만이 환생하여 새로운 삶을 시작할 수 있다. “김자홍 씨께선, 오늘 예정 대로 무사히 사망하셨습니다” 화재 사고 현장에서 여자아이를 구하고 죽음을 맞이한 소방관 자홍, 그의 앞에 저승차사 해원맥과 덕춘이 나타난다. 자신의 죽음이 아직 믿기지도 않는데 덕춘은 정의로운 망자이자 귀인이라며 그를 치켜세운다. 저승으로 가는 입구, 초군문에서 그를 기다리는 또 한 명의 차사 강림, 그는 차사들의 리더이자 앞으로 자홍이 겪어야 할 7개의 재판에서 변호를 맡아줄 변호사이기도 하다. 염라대왕에게 천년 동안 49명의 망자를 환생시키면 자신들 역시 인간으로 환생시켜 주겠다는 약속을 받은 삼차사들, 그들은 자신들이 변호하고 호위해야 하는 48번째 망자이자 19년 만에 나타난 의로운 귀인 자홍의 환생을 확신하지만, 각 지옥에서 자홍의 과거가 하나 둘씩 드러나면서 예상치 못한 고난과 맞닥뜨리는데… 누구나 가지만 아무도 본 적 없는 곳, 새로운 세계의 문이 열린다!",2017/12/20,115728000000,14414658,1912,214631,한국,롯데엔터테인먼트,8.73,5.92,7.83,7.1,1,28688193269,3548260,1887,38478,28770391469,3558732,39580104963,4980763,1912,52781,68350496432,8539495,24221083905,2962764,1644,42722,92571580337,11502259,판타지,787,김용화
4,20137048,국제시장,"1950년대 한국전쟁 이후로부터 현재에 이르기까지 격변의 시대를 관통하며 살아온 우리 시대 아버지 ‘덕수’(황정민 분), 그는 하고 싶은 것도 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적이 없다. ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절, 오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기가 지금부터 시작된다.",2014/12/17,110945000000,14263980,1044,212696,한국,(주)씨제이이엔엠,9.16,5.81,9.02,7.1,1,11920715644,1528813,966,23042,12120015644,1555055,21302114252,2726548,960,27887,33422129896,4281603,27120029765,3471300,1044,31586,60542159661,7752903,드라마,548,윤제균
5,20184889,어벤져스: 엔드게임,인피니티 워 이후 절반만 살아남은 지구 마지막 희망이 된 어벤져스 먼저 떠난 그들을 위해 모든 것을 걸었다! 위대한 어벤져스 운명을 바꿀 최후의 전쟁이 펼쳐진다!,2019/04/24,122492000000,13977602,2835,246433,미국,월트디즈니컴퍼니코리아,9.5,7.62,9.38,7.9,1,54355659450,6308048,2835,64165,54355659450,6308048,40673241700,4644267,2802,78887,95028901150,10952315,16739625580,1847217,2384,53735,111769000000,12799532,액션,0,안소니 루소
6,20197803,겨울왕국 2,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다. 트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아 크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다. 자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데… 두려움을 깨고 새로운 운명을 만나다!",2019/11/21,114810000000,13747792,2648,299334,미국,월트디즈니컴퍼니코리아,8.95,6.75,8.7,7.3,1,38024959800,4437734,2648,58621,38024959800,4437734,33653472160,4145740,2368,83423,71678431960,8583474,17704015160,2114627,1914,58686,89382447120,10698101,애니메이션,1,크리스 벅
7,20148048,베테랑,"한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’(황정민), 20년 경력의 승부사 ‘오팀장’(오달수), 위장 전문 홍일점 ‘미스봉’(장윤주), 육체파 ‘왕형사’(오대환), 막내 ‘윤형사’(김시후)까지 겁 없고, 못 잡는 것 없고, 봐 주는 것 없는 특수 강력사건 담당 광역수사대. 오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나, 서도철은 재벌 3세 ‘조태오’(유아인)를 만나게 된다. 세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’(유해진). 서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. 건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에 판은 걷잡을 수 없이 커져가고 조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데… 베테랑 광역수사대 VS 유아독존 재벌 3세 2015년 여름, 자존심을 건 한판 대결이 시작된다!",2015/08/05,105171000000,13414484,1115,199307,한국,(주)씨제이이엔엠,9.24,7.5,9.01,8.4,1,21635866923,2742795,1064,25920,21781265923,2761634,30405867542,3882104,1115,37090,52187133465,6643738,18893763856,2400249,983,33066,71080897321,9043987,액션,402,류승완
8,20090834,아바타,"지구 에너지 고갈 문제를 해결하기 위해 판도라 행성으로 향한 인류는 원주민 ‘나비족’과 대립하게 된다. 이 과정에서, 전직 해병대원 제이크 설리(샘 워싱턴)가 ‘아바타’ 프로그램을 통해 ‘나비족’의 중심부에 투입되는데… 피할 수 없는 전쟁! 이 모든 운명을 손에 쥔 제이크! 그 누구도 넘보지 못한 역대급 세계가 열린다! 아바타: 인간과 ‘나비족’의 DNA를 결합해 만들어졌으며 링크룸을 통해 인간의 의식으로 원격 조종할 수 있는 새로운 생명체",2009/12/17,125304000000,13338863,917,164457,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아㈜",,8.83,9.07,9,1,13723788000,1666695,917,15743,13732288000,1667545,21316631000,2545075,736,22855,35048919000,4212620,21177458000,2427272,714,22126,56226377000,6639892,SF,1,제임스 카메론
9,20124034,도둑들,"한 팀으로 활동 중인 한국의 도둑 뽀빠이와 예니콜, 씹던껌, 잠파노. 미술관을 터는데 멋지게 성공한 이들은 뽀빠이의 과거 파트너였던 마카오박이 제안한 홍콩에서의 새로운 계획을 듣게 된다. 여기에 마카오박이 초대하지 않은 손님, 감옥에서 막 출소한 금고털이 팹시가 합류하고 5명은 각자 인생 최고의 반전을 꿈꾸며 홍콩으로 향한다. 홍콩에서 한국 도둑들을 기다리고 있는 4인조 중국도둑 첸, 앤드류, 쥴리, 조니. 최고의 전문가들이 세팅된 가운데 서로에 대한 경계를 늦추지 않는 한국과 중국의 도둑들. 팽팽히 흐르는 긴장감 속에 나타난 마카오박은 자신이 계획한 목표물을 밝힌다. 그것은 마카오 카지노에 숨겨진 희대의 다이아몬드 <태양의 눈물>. 성공을 장담할 수 없는 위험천만한 계획이지만 2천만 달러의 달콤한 제안을 거부할 수 없는 이들은 태양의 눈물을 훔치기 위한 작업에 착수한다. 그러나 진짜 의도를 알 수 없는 비밀스런 마카오박과 그런 마카오박의 뒤통수를 노리는 뽀빠이, 마카오박에게 배신당한 과거의 기억을 잊지 못하는 팹시와 팀보다 눈 앞의 현찰을 먼저 챙기는 예니콜, 그리고 한국 도둑들을 믿지 않는 첸과 중국 도둑들까지. 훔치기 위해 모였지만 목적은 서로 다른 10인의 도둑들은 서서히 자신만의 플랜을 세우기 시작하는데…",2012/07/25,93672497700,12984701,1091,155487,한국,(주)쇼박스,8,7.05,7.64,7.9,1,20665008000,2858081,1072,24481,20737399000,2866756,29046371500,4017061,1091,36056,49783770500,6883817,16997363000,2353543,1041,29089,66781133500,9237360,액션,432,최동훈
10,20127593,7번방의 선물,"최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 '용구'! 평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 '용구' 딸 '예승'이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 2013년 새해, 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!",2013/01/23,91437368170,12812144,866,167013,한국,(주)넥스트엔터테인먼트월드(NEW),,6.58,8.83,8.7,1,12626773202,1731352,787,16025,12699679202,1740047,17419538777,2451850,866,25372,30119217979,4191897,15197937191,2089485,802,25107,45317155170,6281382,코미디,230,이환경
